Monthly Climate Variable Data: 2017 - 2021;;;;;;;;;;
Province;year;month;Maximum Temperature (°C );Minimum Temperature  (°C );Average Temperature  (°C );Air Pressure (hPa);Wind Speed (Km/h);Humidity (%);Precipitation (mm);
Western Cape;2017;1;27,53948217;15,581068;21,36547744;95876,86752;4,40009965;58,64356678;33,27792299;46,47265881
Western Cape;2017;2;28,11047988;16,39222874;21,92226622;95906,22006;4,272323871;60,57769169;14,04555958;
Western Cape;2017;3;27,44200164;14,76008127;20,73794591;96126,17926;3,690400237;57,14201037;8,404395489;
Western Cape;2017;4;24,76982219;13,35823371;18,60981165;96316,29714;3,680750196;59,86762667;17,31907415;
Western Cape;2017;5;21,77730082;10,37435654;15,60209268;96468,4516;3,0943672;62,57572168;7,600868041;
Western Cape;2017;6;17,72315;6,979958202;12,33478562;96333,28669;3,908904148;63,80164415;35,04074123;
Western Cape;2017;7;18,06209542;6,0072418;11,71500481;96619,6218;3,348902907;62,20992756;21,20991091;
Western Cape;2017;8;17,55321852;7,100684183;12,14492872;96581,41154;3,698196365;64,17659463;31,82713077;
Western Cape;2017;9;21,404003;9,70966511;15,33525335;96372,92193;3,917909989;60,13534531;15,55979923;
Western Cape;2017;10;22,12493206;10,14440756;16,09102985;96179,42841;4,311790072;57,61412994;19,62141586;
Western Cape;2017;11;24,07168349;12,48132221;18,23054939;96092,06794;4,208116643;59,37742842;39,79297157;
Western Cape;2017;12;26,54748139;14,59506793;20,45242892;95942,43708;4,443751224;56,68084932;10,12907487;
Western Cape;2018;1;28,27426083;16,70588759;22,28816878;95853,51015;4,333800515;59,8804847;23,90489078;
Western Cape;2018;2;28,06460136;16,28387003;21,80064631;95770,68129;4,060488769;59,59991752;14,90760531;
Western Cape;2018;3;24,93694846;14,37257181;19,33189562;95931,36573;3,61146532;63,57874486;30,02378839;
Western Cape;2018;4;23,14976029;12,51509916;17,47660517;96106,45637;3,462210461;65,61704877;21,23740839;
Western Cape;2018;5;20,7609545;10,74341667;15,49065236;96217,28825;3,446536094;65,0822987;32,35042356;
Western Cape;2018;6;18,04256058;8,330587216;13,00400928;96448,1147;3,800969347;66,12601945;40,91675364;
Western Cape;2018;7;19,01930582;8,240468558;13,31182185;96791,23769;3,651465938;61,96408948;31,3520727;
Western Cape;2018;8;16,58052912;6,246376181;11,28521272;96488,00223;3,501914069;65,12404924;34,90431633;
Western Cape;2018;9;18,82863926;8,182130373;13,39334912;96250,06169;3,74718848;64,35026446;47,17352435;
Western Cape;2018;10;25,26722866;12,93254881;19,04572632;96348,70296;4,393658676;54,69755285;12,51062213;
Western Cape;2018;11;24,94560809;12,25433783;18,67153707;96125,87244;4,243159071;55,62561736;16,74352724;
Western Cape;2018;12;27,04417684;15,16902018;20,99554119;95912,07553;3,842292447;59,40070642;18,05421984;
Western Cape;2019;1;27,59739464;15,67817153;21,42132297;95902,62091;4,375545698;57,74550127;10,95759094;
Western Cape;2019;2;28,1166192;17,10259477;22,28187018;95908,19596;3,869283289;62,71911707;20,60218688;
Western Cape;2019;3;25,93261419;15,65973043;20,3656304;96056,55913;3,521440539;67,01113763;31,46764004;
Western Cape;2019;4;22,88985799;12,49889939;17,33971836;96176,18442;3,43220275;65,82982256;20,38527828;
Western Cape;2019;5;21,5907094;10,60572121;15,73614258;96283,61064;3,217531607;64,77265754;21,51803499;
Western Cape;2019;6;18,95166071;7,857892243;13,14524049;96498,3838;3,654590802;62,91587845;29,77419622;
Western Cape;2019;7;18,11237106;8,142305161;12,90279013;96371,25285;4,116180854;65,70237051;41,10087136;
Western Cape;2019;8;19,2234004;7,366900921;13,02504594;96650,75552;3,450324046;60,81845328;10,70882284;
Western Cape;2019;9;23,17880803;11,14818575;16,94823549;96440,14062;3,81691899;57,76180936;26,06030294;
Western Cape;2019;10;23,17739182;11,35769575;17,17598753;96134,44793;3,955695095;57,64411468;24,3348225;
Western Cape;2019;11;25,39789747;13,40835031;19,32512865;95961,06488;4,198138645;57,36875361;13,48159873;
Western Cape;2019;12;26,22611558;14,30774125;20,18898057;95908,29924;4,673137476;56,24770564;13,25252291;
Western Cape;2020;1;27,1874073;16,70238681;21,64385857;95897,7833;4,274722043;65,15935474;46,5156912;
Western Cape;2020;2;28,29862811;17,1013668;22,38120259;95970,64744;4,161558491;61,96614499;17,5205964;
